Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
XGBoost,0.9725,0.5684210526315789,0.7941176470588235,0.6625766871165644,0.9764721105833639
Random Forest,0.9675,0.5142857142857142,0.7941176470588235,0.6242774566473989,0.976647180611375
Gradient Boosting,0.9315,0.3193717277486911,0.8970588235294118,0.47104247104247104,0.9666910242357813
SVM,0.916,0.2747747747747748,0.8970588235294118,0.4206896551724138,0.9629536597247594
Logistic Regression,0.832,0.14736842105263157,0.8235294117647058,0.25,0.9079436122274996
